SNo,Pair,Date,Session,Day,Direction,Entry_Price,SL_Price,TP_Price,Exit_Price,SL_Pips,Lot_Size,Account_Balance,Risk_Amount,RR,PnL,TP_Hit,Result,Trade_Duration
50,USDCAD,2021-01-11,New York,Monday,Sell,1.28486,1.28592,1.28221,1.28592,10.6,1.87,101323.37,152.63,0.97,-147.66,SL Hit,Loss,55m
51,EURUSD,2021-01-11,London,Monday,Buy,1.02652,1.02578,1.02874,1.02872,7.4,1.64,101686.98,121.36,3.0,363.61,TP1 (1:3),Win,4h 20m
52,EURGBP,2021-01-11,New York,Monday,Sell,0.85153,0.85288,0.84815,0.85285,13.5,1.32,101524.13,231.66,0.94,-162.85,SL Hit,Loss,12m
53,XAUUSD,2021-01-11,New York,Monday,Buy,1830.56,1830.42,1830.99,1830.56,14.4,1.32,101524.13,135.28,0.0,0.0,BE,,2h 5m
54,EURGBP,2021-01-11,New York,Monday,Buy,0.87606,0.87477,0.87993,0.87606,12.9,1.32,101524.13,170.98,0.0,0.0,BE,,1h 30m
55,EURUSD,2021-01-11,London,Monday,Sell,1.10037,1.10118,1.09835,1.10117,8.1,2.1,101361.2,170.1,0.96,-162.93,SL Hit,Loss,48m
56,EURUSD,2021-01-11,London,Monday,Sell,1.06315,1.06432,1.06022,1.0643,11.7,1.59,101192.44,186.03,0.91,-168.76,SL Hit,Loss,12m
57,USDCAD,2021-01-11,New York,Monday,Sell,1.33178,1.33347,1.32671,1.33178,16.9,1.32,101192.44,153.1,0.0,0.0,BE,,1h 30m
58,GBPUSD,2021-01-12,London,Tuesday,Sell,1.24873,1.24926,1.2474,1.24923,5.3,3.15,101030.45,166.95,0.97,-161.99,SL Hit,Loss,48m
59,XAUUSD,2021-01-12,London,Tuesday,Sell,1866.96,1867.12,1866.55,1867.12,16.5,1.32,100894.95,217.8,0.97,-135.5,SL Hit,Loss,35m
60,EURGBP,2021-01-12,London,Tuesday,Buy,0.8433,0.84254,0.8452,0.84257,7.6,1.32,100772.08,130.42,0.96,-122.87,SL Hit,Loss,18m
61,GBPUSD,2021-01-12,London,Tuesday,Sell,1.238,1.23969,1.23378,1.23969,16.9,1.32,100640.53,223.08,0.98,-131.55,SL Hit,Loss,22m
62,XAUUSD,2021-01-12,New York,Tuesday,Sell,1808.96,1809.0,1808.82,1808.82,4.3,3.46,101125.6,148.78,3.26,485.07,TP1 (1:3),Win,1h 48m
63,GBPUSD,2021-01-12,New York,Tuesday,Sell,1.26656,1.26793,1.26313,1.2679,13.7,1.32,100993.31,180.84,0.93,-132.29,SL Hit,Loss,55m
64,EURUSD,2021-01-12,New York,Tuesday,Sell,1.07333,1.07464,1.07005,1.07463,13.1,1.37,100828.66,179.47,0.92,-164.65,SL Hit,Loss,1h 5m
65,EURGBP,2021-01-12,London,Tuesday,Buy,0.85978,0.85928,0.86103,0.8593,5.0,2.4,100679.14,156.0,0.96,-149.52,SL Hit,Loss,58m
66,EURUSD,2021-01-13,London,Wednesday,Buy,1.06672,1.06624,1.06792,1.06626,4.8,3.08,100535.89,147.84,0.97,-143.25,SL Hit,Loss,48m
67,EURGBP,2021-01-13,New York,Wednesday,Sell,0.86459,0.86614,0.86072,0.86613,15.5,1.32,100389.71,265.98,0.95,-146.18,SL Hit,Loss,32m
68,GBPUSD,2021-01-13,London,Wednesday,Sell,1.25609,1.25756,1.25241,1.25755,14.7,1.32,100239.63,194.04,0.92,-150.08,SL Hit,Loss,1h 22m
69,USDCAD,2021-01-13,London,Wednesday,Buy,1.33866,1.33749,1.34195,1.34191,11.7,1.7,100668.89,153.15,2.81,429.26,TP1 (1:3),Win,5h 30m
70,USDCAD,2021-01-13,New York,Wednesday,Sell,1.2297,1.23063,1.22705,1.22709,9.3,1.85,101046.93,132.48,2.85,378.04,TP1 (1:3),Win,2h 30m
71,EURUSD,2021-01-13,New York,Wednesday,Sell,1.0232,1.0238,1.02139,1.0214,6.0,2.45,101490.73,147.0,3.02,443.8,TP1 (1:3),Win,6h 10m
72,XAUUSD,2021-01-13,London,Wednesday,Buy,1993.46,1993.37,1993.72,1993.72,8.8,1.43,101857.29,125.84,2.91,366.56,TP1 (1:3),Win,8h 5m
73,EURGBP,2021-01-13,London,Wednesday,Sell,0.85323,0.85459,0.84983,0.85456,13.6,1.32,101735.46,233.38,0.95,-121.83,SL Hit,Loss,18m
74,GBPUSD,2021-01-13,New York,Wednesday,Sell,1.22796,1.22938,1.22441,1.22936,14.2,1.32,101604.08,187.44,0.96,-131.38,SL Hit,Loss,58m
75,XAUUSD,2021-01-13,London,Wednesday,Buy,2007.33,2007.26,2007.49,2007.26,6.6,1.93,101482.1,127.38,0.96,-121.98,SL Hit,Loss,27m
76,USDCAD,2021-01-15,New York,Friday,Buy,1.19818,1.1977,1.19938,1.19772,4.8,4.32,101333.68,159.67,0.93,-148.42,SL Hit,Loss,22m
77,EURUSD,2021-01-15,New York,Friday,Buy,1.06194,1.0607,1.06504,1.06071,12.4,1.32,101191.41,163.68,0.98,-142.27,SL Hit,Loss,58m
78,GBPUSD,2021-01-15,London,Friday,Sell,1.2797,1.2809,1.2767,1.2809,12.0,1.32,101057.43,158.4,0.96,-133.98,SL Hit,Loss,18m
79,USDCAD,2021-01-15,New York,Friday,Buy,1.26591,1.26447,1.27023,1.26591,14.4,1.32,101057.43,138.17,0.0,0.0,BE,,1h 10m
80,XAUUSD,2021-01-15,London,Friday,Buy,2086.38,2086.31,2086.56,2086.31,7.3,1.7,100936.06,124.1,0.98,-121.37,SL Hit,Loss,12m
81,USDCAD,2021-01-15,London,Friday,Sell,1.23901,1.23998,1.23659,1.23997,9.7,1.95,100791.56,145.65,0.99,-144.5,SL Hit,Loss,58m
82,EURUSD,2021-01-15,New York,Friday,Sell,1.02956,1.03009,1.02788,1.02791,5.3,2.66,101239.1,140.98,3.17,447.54,TP1 (1:3),Win,3h 40m
83,USDCAD,2021-01-15,New York,Friday,Buy,1.26424,1.26328,1.26664,1.2633,9.6,2.36,101080.61,174.45,0.91,-158.49,SL Hit,Loss,22m
84,EURGBP,2021-01-15,London,Friday,Sell,0.8517,0.85262,0.849,0.84902,9.2,1.44,101587.64,172.22,2.94,507.03,TP1 (1:3),Win,8h 5m
85,GBPUSD,2021-01-15,New York,Friday,Buy,1.25487,1.2535,1.25873,1.25871,13.7,1.32,101976.19,180.84,2.82,388.55,TP1 (1:3),Win,6h 10m
86,EURUSD,2021-01-18,New York,Monday,Sell,1.10207,1.10316,1.09935,1.10313,10.9,1.32,101850.86,143.88,0.94,-125.33,SL Hit,Loss,27m
87,EURGBP,2021-01-18,New York,Monday,Sell,0.84721,0.84765,0.84611,0.84763,4.4,2.86,101693.95,163.59,0.96,-156.91,SL Hit,Loss,12m
88,XAUUSD,2021-01-18,New York,Monday,Buy,1969.74,1969.69,1969.87,1969.69,5.1,3.29,101537.86,167.79,0.93,-156.09,SL Hit,Loss,1h 22m
89,EURGBP,2021-01-18,New York,Monday,Sell,0.88246,0.88341,0.88009,0.8834,9.5,1.32,101380.34,163.02,0.99,-157.52,SL Hit,Loss,18m
90,EURUSD,2021-01-18,New York,Monday,Buy,1.0966,1.09515,1.10023,1.09517,14.5,1.32,101234.44,191.4,0.94,-145.9,SL Hit,Loss,32m
91,XAUUSD,2021-01-18,New York,Monday,Sell,2040.68,2040.74,2040.5,2040.68,6.0,2.78,101234.44,166.93,0.0,0.0,BE,,2h 5m
92,USDCAD,2021-01-18,London,Monday,Buy,1.3309,1.33014,1.3328,1.33017,7.6,2.63,101089.8,153.91,0.94,-144.64,SL Hit,Loss,32m
93,XAUUSD,2021-01-18,London,Monday,Buy,1806.96,1806.82,1807.32,1806.82,14.3,1.32,100950.28,188.76,0.93,-139.52,SL Hit,Loss,35m
94,EURUSD,2021-01-18,London,Monday,Buy,1.02407,1.02292,1.02694,1.02293,11.5,1.32,100812.98,151.8,0.94,-137.3,SL Hit,Loss,35m
95,EURGBP,2021-01-21,London,Thursday,Buy,0.88111,0.88048,0.88268,0.88049,6.3,1.8,100677.66,147.42,0.92,-135.32,SL Hit,Loss,18m
96,GBPUSD,2021-01-21,New York,Thursday,Sell,1.30953,1.31029,1.30733,1.30737,7.6,1.74,101059.33,132.24,2.89,381.67,TP1 (1:3),Win,1h 55m
97,EURUSD,2021-01-21,New York,Thursday,Sell,1.1147,1.1156,1.11245,1.11557,9.0,1.5,100926.04,135.0,0.99,-133.29,SL Hit,Loss,1h 22m
98,USDCAD,2021-01-21,New York,Thursday,Sell,1.2956,1.29657,1.29318,1.29654,9.7,2.09,100771.22,156.1,0.99,-154.82,SL Hit,Loss,35m
99,USDCAD,2021-01-21,New York,Thursday,Buy,1.27719,1.27577,1.28074,1.27579,14.2,1.48,100612.71,161.82,0.98,-158.51,SL Hit,Loss,40m
100,USDCAD,2021-01-21,New York,Thursday,Buy,1.33321,1.33232,1.33543,1.33235,8.9,2.43,100454.22,166.53,0.95,-158.49,SL Hit,Loss,1h 22m
101,XAUUSD,2021-01-21,New York,Thursday,Buy,2077.04,2077.0,2077.14,2077.0,4.0,3.41,100328.77,136.4,0.92,-125.45,SL Hit,Loss,1h 22m
102,XAUUSD,2021-01-21,London,Thursday,Buy,1926.83,1926.69,1927.26,1926.83,14.2,1.32,100328.77,132.82,0.0,0.0,BE,,1h 10m
103,XAUUSD,2021-01-21,New York,Thursday,Sell,2031.56,2031.69,2031.24,2031.69,12.8,1.32,100169.4,168.96,0.98,-159.37,SL Hit,Loss,55m
104,XAUUSD,2021-01-22,New York,Friday,Buy,2068.66,2068.61,2068.78,2068.61,5.0,3.07,100026.79,153.5,0.93,-142.61,SL Hit,Loss,22m
105,EURUSD,2021-01-22,London,Friday,Sell,1.08317,1.08478,1.07855,1.07859,16.1,1.32,100544.33,212.52,2.87,517.54,TP1 (1:3),Win,2h 30m
106,GBPUSD,2021-01-22,New York,Friday,Sell,1.2978,1.29864,1.2957,1.29862,8.4,1.72,100401.71,144.48,0.99,-142.62,SL Hit,Loss,27m
107,USDCAD,2021-01-22,London,Friday,Sell,1.3408,1.3412,1.33967,1.3397,4.0,5.68,100895.38,174.94,2.82,493.67,TP1 (1:3),Win,4h 20m
108,EURGBP,2021-01-22,New York,Friday,Sell,0.86232,0.86274,0.86112,0.86114,4.2,3.02,101364.74,164.89,2.85,469.36,TP1 (1:3),Win,1h 2m
109,GBPUSD,2021-01-22,New York,Friday,Buy,1.26417,1.26332,1.26629,1.26334,8.5,2.04,101198.58,173.4,0.96,-166.16,SL Hit,Loss,48m
110,XAUUSD,2021-01-22,London,Friday,Buy,1833.86,1833.77,1834.07,1833.77,8.6,1.76,101060.88,151.36,0.91,-137.7,SL Hit,Loss,45m
111,USDCAD,2021-01-22,London,Friday,Sell,1.2246,1.22559,1.22212,1.22558,9.9,2.05,100910.87,156.27,0.96,-150.01,SL Hit,Loss,35m
112,USDCAD,2021-01-25,London,Monday,Sell,1.19295,1.19383,1.19075,1.19383,8.8,1.96,100784.38,132.81,0.95,-126.49,SL Hit,Loss,55m
113,EURUSD,2021-01-25,New York,Monday,Sell,1.07718,1.07762,1.07608,1.07761,4.4,2.82,100662.7,124.08,0.98,-121.68,SL Hit,Loss,45m
114,EURGBP,2021-01-25,London,Monday,Buy,0.87552,0.87476,0.87742,0.87478,7.6,1.66,100511.78,164.01,0.92,-150.92,SL Hit,Loss,27m
115,XAUUSD,2021-01-25,London,Monday,Buy,2081.64,2081.52,2081.95,2081.52,12.3,1.43,100346.1,175.89,0.94,-165.68,SL Hit,Loss,22m
116,XAUUSD,2021-01-25,London,Monday,Sell,2061.53,2061.64,2061.25,2061.64,11.1,1.32,100225.71,146.52,0.98,-120.39,SL Hit,Loss,12m
117,EURGBP,2021-01-25,New York,Monday,Buy,0.88837,0.88713,0.89147,0.88714,12.4,1.32,100065.72,212.78,0.97,-159.99,SL Hit,Loss,58m
118,EURUSD,2021-01-25,New York,Monday,Buy,1.11174,1.11081,1.11436,1.11433,9.3,1.85,100551.49,172.05,2.82,485.77,TP1 (1:3),Win,8h 5m
119,USDCAD,2021-01-25,London,Monday,Buy,1.34726,1.34564,1.35238,1.35236,16.2,1.32,101008.81,164.66,3.16,457.32,TP1 (1:3),Win,4h 20m
120,EURGBP,2021-01-26,London,Tuesday,Buy,0.85059,0.85016,0.85167,0.85016,4.3,2.69,100871.99,150.37,0.91,-136.82,SL Hit,Loss,18m
121,EURUSD,2021-01-26,New York,Tuesday,Buy,1.07262,1.0716,1.07517,1.07161,10.2,1.39,100733.22,141.78,0.98,-138.77,SL Hit,Loss,35m
122,USDCAD,2021-01-26,New York,Tuesday,Sell,1.27776,1.27904,1.27456,1.27903,12.8,1.63,100579.4,160.65,0.96,-153.82,SL Hit,Loss,32m
123,EURUSD,2021-01-26,New York,Tuesday,Sell,1.03178,1.03261,1.0297,1.0326,8.3,2.12,100419.62,175.96,0.91,-159.78,SL Hit,Loss,55m
124,EURUSD,2021-01-26,New York,Tuesday,Sell,1.11929,1.12053,1.11619,1.12051,12.4,1.32,100297.58,163.68,0.92,-122.04,SL Hit,Loss,12m
125,GBPUSD,2021-01-26,New York,Tuesday,Sell,1.21661,1.21777,1.21371,1.21777,11.6,1.49,100127.95,172.84,0.98,-169.63,SL Hit,Loss,45m
126,XAUUSD,2021-01-26,London,Tuesday,Buy,1857.26,1857.15,1857.57,1857.57,10.5,1.32,100532.03,138.6,2.96,404.08,TP1 (1:3),Win,12h 20m
127,EURUSD,2021-01-26,London,Tuesday,Sell,1.06915,1.0697,1.06735,1.06738,5.5,2.78,101031.72,152.9,3.27,499.69,TP1 (1:3),Win,1h 48m
128,USDCAD,2021-01-26,New York,Tuesday,Sell,1.23549,1.23702,1.23167,1.237,15.3,1.32,100887.27,155.51,0.95,-144.45,SL Hit,Loss,32m
129,GBPUSD,2021-01-26,London,Tuesday,Sell,1.27942,1.27988,1.27827,1.27986,4.6,3.77,100724.42,173.42,0.94,-162.85,SL Hit,Loss,58m
130,EURGBP,2021-01-27,New York,Wednesday,Sell,0.83499,0.83662,0.83091,0.8366,16.3,1.32,100597.32,279.71,0.95,-127.1,SL Hit,Loss,27m
131,GBPUSD,2021-01-27,New York,Wednesday,Sell,1.24333,1.24457,1.24023,1.24455,12.4,1.32,100475.21,163.68,0.99,-122.11,SL Hit,Loss,40m
132,XAUUSD,2021-01-27,London,Wednesday,Sell,2030.98,2031.03,2030.87,2031.03,4.6,3.34,100335.23,153.64,0.91,-139.98,SL Hit,Loss,48m
133,USDCAD,2021-01-27,New York,Wednesday,Buy,1.21377,1.21328,1.215,1.21329,4.9,3.76,100196.23,141.86,0.98,-139.0,SL Hit,Loss,18m
134,XAUUSD,2021-01-27,New York,Wednesday,Buy,2021.03,2020.88,2021.41,2020.88,15.2,1.32,100039.01,200.64,0.95,-157.22,SL Hit,Loss,22m
135,EURUSD,2021-01-27,London,Wednesday,Buy,1.07151,1.07041,1.07426,1.07043,11.0,1.32,99908.63,145.2,0.97,-130.38,SL Hit,Loss,22m
136,XAUUSD,2021-01-27,London,Wednesday,Buy,1853.68,1853.56,1853.99,1853.56,12.3,1.32,99759.6,162.36,0.97,-149.03,SL Hit,Loss,18m
137,EURUSD,2021-01-27,New York,Wednesday,Sell,1.08131,1.0827,1.07697,1.07697,13.9,1.32,100242.43,183.48,3.12,482.83,TP1 (1:3),Win,5h 30m
138,EURGBP,2021-01-27,New York,Wednesday,Buy,0.88054,0.87966,0.88318,0.88054,8.8,1.38,100242.43,157.57,0.0,0.0,BE,,45m
139,GBPUSD,2021-01-27,New York,Wednesday,Sell,1.2444,1.24494,1.24305,1.24493,5.4,3.13,100083.78,169.02,0.94,-158.65,SL Hit,Loss,18m
140,USDCAD,2021-01-28,New York,Thursday,Buy,1.23094,1.22967,1.23411,1.22969,12.7,1.86,99914.67,181.89,0.93,-169.11,SL Hit,Loss,12m
141,EURUSD,2021-01-28,London,Thursday,Sell,1.07537,1.07701,1.07045,1.07537,16.4,1.32,99914.67,142.31,0.0,0.0,BE,,2h 5m
142,EURUSD,2021-01-28,London,Thursday,Buy,1.1021,1.10125,1.10456,1.10456,8.5,1.89,100379.43,160.65,2.89,464.76,TP1 (1:3),Win,12h 20m
143,EURUSD,2021-01-28,London,Thursday,Sell,1.10773,1.10895,1.10468,1.10893,12.2,1.32,100245.34,161.04,0.95,-134.09,SL Hit,Loss,55m
144,XAUUSD,2021-01-28,New York,Thursday,Buy,1926.79,1926.73,1926.94,1926.73,6.2,2.69,100084.97,166.78,0.96,-160.37,SL Hit,Loss,55m
145,GBPUSD,2021-01-28,London,Thursday,Sell,1.21055,1.21199,1.20695,1.21198,14.4,1.32,99925.21,190.08,0.96,-159.76,SL Hit,Loss,1h 22m
146,GBPUSD,2021-01-28,New York,Thursday,Sell,1.3072,1.30826,1.30455,1.30825,10.6,1.32,99801.29,139.92,0.98,-123.92,SL Hit,Loss,35m
147,XAUUSD,2021-01-28,New York,Thursday,Buy,2049.93,2049.88,2050.06,2049.88,5.2,2.71,99670.03,140.92,0.93,-131.26,SL Hit,Loss,18m
148,GBPUSD,2021-01-28,New York,Thursday,Sell,1.29303,1.29457,1.28918,1.29457,15.4,1.32,99516.09,203.28,0.93,-153.94,SL Hit,Loss,35m
149,EURUSD,2021-01-28,New York,Thursday,Sell,1.05311,1.05435,1.05001,1.05434,12.4,1.37,99350.0,169.88,0.98,-166.09,SL Hit,Loss,58m
150,USDCAD,2021-02-01,London,Monday,Buy,1.32187,1.3202,1.32605,1.32022,16.7,1.32,99221.54,169.74,0.99,-128.46,SL Hit,Loss,22m
151,XAUUSD,2021-02-01,London,Monday,Buy,1978.68,1978.61,1978.87,1978.61,7.5,2.01,99077.07,150.75,0.96,-144.47,SL Hit,Loss,27m
152,EURUSD,2021-02-01,London,Monday,Sell,1.1009,1.1018,1.09865,1.1018,9.0,1.81,98924.29,162.9,0.94,-152.78,SL Hit,Loss,40m
153,EURUSD,2021-02-01,New York,Monday,Sell,1.06516,1.06597,1.06314,1.06595,8.1,1.6,98799.94,129.6,0.96,-124.35,SL Hit,Loss,1h 5m
154,EURGBP,2021-02-01,London,Monday,Buy,0.8743,0.87287,0.87787,0.87287,14.3,1.32,98636.04,245.39,0.93,-163.9,SL Hit,Loss,40m
155,EURGBP,2021-02-01,New York,Monday,Sell,0.85833,0.85959,0.85518,0.85958,12.6,1.32,98493.83,216.22,0.96,-142.21,SL Hit,Loss,1h 22m
156,USDCAD,2021-02-01,New York,Monday,Sell,1.32769,1.32856,1.32551,1.32854,8.7,2.61,98326.09,174.84,0.96,-167.74,SL Hit,Loss,18m
157,EURUSD,2021-02-01,New York,Monday,Sell,1.03291,1.03408,1.02998,1.03408,11.7,1.32,98183.69,154.44,0.96,-142.4,SL Hit,Loss,35m
158,USDCAD,2021-02-01,London,Monday,Sell,1.2095,1.21035,1.20738,1.21035,8.5,2.42,98036.14,158.39,0.93,-147.55,SL Hit,Loss,1h 22m
159,XAUUSD,2021-02-01,London,Monday,Sell,1908.58,1908.69,1908.26,1908.26,10.6,1.32,98432.19,139.92,2.99,396.05,TP1 (1:3),Win,3h 22m
